data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2019-04-24,2019-04-25,2019-04-25 00:00:00.000000000,ON,DIVIDENDO,14.98,0.084539,AALR3,,,AALR
2020-04-27,2020-04-27,2020-04-27 00:00:00.000000000,ON,DIVIDENDO,10.63,0.087298,AALR3,2020-12-18 00:00:00.000000000,BRAALRACNOR6,AALR
2009-09-30,2009-09-30,2009-09-30 00:00:00.000000000,PN,JRS CAP PROPRIO,10.5,0.12,ABCB4,2009-09-30 00:00:00.000000000,,ABCB
2009-03-31,2009-03-31,2009-03-31 00:00:00.000000000,PN,JRS CAP PROPRIO,5.66,0.13,ABCB4,2009-03-31 00:00:00.000000000,,ABCB
2009-06-30,2009-06-30,2009-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,7.45,0.13,ABCB4,2009-06-30 00:00:00.000000000,,ABCB
2009-12-30,2009-12-30,2009-12-30 00:00:00.000000000,PN,JRS CAP PROPRIO,11.8,0.13,ABCB4,2009-12-30 00:00:00.000000000,,ABCB
2010-03-31,2010-03-31,2010-03-31 00:00:00.000000000,PN,JRS CAP PROPRIO,13.57,0.13,ABCB4,2010-03-31 00:00:00.000000000,,ABCB
2010-06-30,2010-06-30,2010-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,12.16,0.13,ABCB4,2010-06-30 00:00:00.000000000,,ABCB
2010-09-30,2010-09-30,2010-09-30 00:00:00.000000000,PN,JRS CAP PROPRIO,17.0,0.14,ABCB4,2010-09-30 00:00:00.000000000,,ABCB
2010-12-30,2010-12-30,2010-12-30 00:00:00.000000000,PN,JRS CAP PROPRIO,14.62,0.14,ABCB4,2010-12-30 00:00:00.000000000,,ABCB
2011-03-31,2011-03-31,2011-03-31 00:00:00.000000000,PN,JRS CAP PROPRIO,12.4,0.14,ABCB4,2011-03-31 00:00:00.000000000,,ABCB
2011-06-30,2011-06-30,2011-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,11.72,0.15,ABCB4,2011-06-30 00:00:00.000000000,,ABCB
2011-09-30,2011-09-30,2011-09-30 00:00:00.000000000,PN,JRS CAP PROPRIO,9.47,0.15,ABCB4,2011-09-30 00:00:00.000000000,,ABCB
2020-08-07,2020-08-12,2020-08-12 00:00:00.000000000,PN,JRS CAP PROPRIO,13.95,0.158673,ABCB4,,,ABCB
2011-12-29,2011-12-29,2011-12-29 00:00:00.000000000,PN,JRS CAP PROPRIO,12.47,0.16,ABCB4,2011-12-29 00:00:00.000000000,,ABCB
2021-03-25,2021-03-31,2021-03-31 00:00:00.000000000,PN,JRS CAP PROPRIO,14.5,0.213,ABCB4,2021-04-12 00:00:00.000000000,,ABCB
2021-06-24,2021-06-30,2021-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,15.88,0.219,ABCB4,2021-07-12 00:00:00.000000000,,ABCB
2021-09-30,2021-10-06,2021-10-06 00:00:00.000000000,PN,JRS CAP PROPRIO,15.25,0.232,ABCB4,2021-10-20 00:00:00.000000000,,ABCB
2021-12-24,2021-12-30,2021-12-30 00:00:00.000000000,PN,JRS CAP PROPRIO,15.87,0.252,ABCB4,2022-01-13 00:00:00.000000000,,ABCB
2013-06-27,2013-06-28,2013-06-28 00:00:00.000000000,PN,JRS CAP PROPRIO,13.51,0.296649,ABCB4,2013-06-28 00:00:00.000000000,,ABCB
2013-12-26,2013-12-30,2013-12-30 00:00:00.000000000,PN,JRS CAP PROPRIO,12.64,0.303,ABCB4,2013-12-30 00:00:00.000000000,,ABCB
2012-12-28,2013-01-02,2013-01-02 00:00:00.000000000,PN,JRS CAP PROPRIO,14.15,0.308,ABCB4,2013-01-02 00:00:00.000000000,,ABCB
2022-03-28,2022-03-31,2022-03-31 00:00:00.000000000,PN,JRS CAP PROPRIO,17.23,0.313,ABCB4,2022-04-13 00:00:00.000000000,,ABCB
2014-06-27,2014-06-30,2014-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,13.6,0.326,ABCB4,2014-08-12 00:00:00.000000000,,ABCB
2012-06-29,2012-07-02,2012-07-02 00:00:00.000000000,PN,JRS CAP PROPRIO,9.72,0.33,ABCB4,2012-07-02 00:00:00.000000000,,ABCB
2014-12-23,2014-12-30,2014-12-30 00:00:00.000000000,PN,JRS CAP PROPRIO,13.5,0.333,ABCB4,2015-02-10 00:00:00.000000000,,ABCB
2020-12-30,2021-01-06,2021-01-06 00:00:00.000000000,PN,JRS CAP PROPRIO,16.14,0.338164,ABCB4,2021-02-18 00:00:00.000000000,,ABCB
2022-06-24,2022-06-30,2022-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,15.52,0.352,ABCB4,2022-07-13 00:00:00.000000000,,ABCB
2022-09-26,2022-09-30,2022-09-30 00:00:00.000000000,PN,JRS CAP PROPRIO,20.9,0.362,ABCB4,2022-10-13 00:00:00.000000000,,ABCB
2022-12-26,2022-12-29,2022-12-29 00:00:00.000000000,PN,JRS CAP PROPRIO,19.64,0.37,ABCB4,2023-01-13 00:00:00.000000000,,ABCB
2015-06-26,2015-06-30,2015-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,11.7,0.402007,ABCB4,,,ABCB
2015-12-28,2015-12-30,2015-12-30 00:00:00.000000000,PN,JRS CAP PROPRIO,8.73,0.463004,ABCB4,,,ABCB
2019-12-20,2019-12-30,2019-12-30 00:00:00.000000000,PN,JRS CAP PROPRIO,20.19,0.491,ABCB4,2020-01-14 00:00:00.000000000,,ABCB
2017-12-22,2017-12-28,2017-12-28 00:00:00.000000000,PN,JRS CAP PROPRIO,17.18,0.532,ABCB4,2018-02-09 00:00:00.000000000,,ABCB
2016-12-26,2016-12-29,2016-12-29 00:00:00.000000000,PN,JRS CAP PROPRIO,13.93,0.539,ABCB4,2017-02-10 00:00:00.000000000,,ABCB
2018-12-21,2018-12-28,2018-12-28 00:00:00.000000000,PN,JRS CAP PROPRIO,16.88,0.539,ABCB4,2019-02-12 00:00:00.000000000,,ABCB
2018-06-26,2018-06-29,2018-06-29 00:00:00.000000000,PN,JRS CAP PROPRIO,15.07,0.54,ABCB4,2018-08-10 00:00:00.000000000,,ABCB
2016-06-27,2016-06-30,2016-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,13.07,0.548,ABCB4,2016-08-10 00:00:00.000000000,,ABCB
2017-06-27,2017-06-30,2017-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,16.79,0.554,ABCB4,2017-08-10 00:00:00.000000000,,ABCB
2019-06-28,2019-07-04,2019-07-04 00:00:00.000000000,PN,JRS CAP PROPRIO,19.35,0.559,ABCB4,2019-07-17 00:00:00.000000000,,ABCB
2024-06-24,2024-06-28,2024-06-28 00:00:00.000000000,PN,JRS CAP PROPRIO,22.14,0.785,ABCB4,2024-07-12 00:00:00.000000000,BRABCBACNPR4,ABCB
2023-06-26,2023-06-30,2023-06-30 00:00:00.000000000,PN,JRS CAP PROPRIO,19.07,0.836,ABCB4,2023-08-16 00:00:00.000000000,,ABCB
2014-03-25,2014-04-02,2014-04-02 00:00:00.000000000,ON,DIVIDENDO,17.3,0.06,ABEV3,,,ABEV
2014-07-14,2014-07-28,2014-07-28 00:00:00.000000000,ON,DIVIDENDO,16.46,0.06,ABEV3,2014-08-28 00:00:00.000000000,,ABEV
2014-03-25,2014-04-02,2014-04-02 00:00:00.000000000,ON,DIVIDENDO,17.3,0.07,ABEV3,,,ABEV
2016-12-22,2017-01-23,2017-01-23 00:00:00.000000000,ON,DIVIDENDO,17.34,0.07,ABEV3,2017-02-23 00:00:00.000000000,,ABEV
2017-12-21,2018-01-31,2018-01-31 00:00:00.000000000,ON,DIVIDENDO,21.95,0.07,ABEV3,2018-02-22 00:00:00.000000000,,ABEV
2020-12-21,2021-01-13,2021-01-13 00:00:00.000000000,ON,DIVIDENDO,16.17,0.0767,ABEV3,2021-01-28 00:00:00.000000000,,ABEV
2014-01-06,2014-01-14,2014-01-14 00:00:00.000000000,ON,DIVIDENDO,17.25,0.1,ABEV3,2014-01-14 00:00:00.000000000,,ABEV
2016-06-24,2016-07-11,2016-07-11 00:00:00.000000000,ON,DIVIDENDO,19.4,0.13,ABEV3,2016-07-29 00:00:00.000000000,,ABEV
2015-08-28,2015-09-08,2015-09-08 00:00:00.000000000,ON,DIVIDENDO,19.61,0.15,ABEV3,2015-09-28 00:00:00.000000000,,ABEV
2016-10-19,2016-10-31,2016-10-31 00:00:00.000000000,ON,DIVIDENDO,18.83,0.16,ABEV3,2016-11-25 00:00:00.000000000,,ABEV
2017-05-16,2017-06-23,2017-06-23 00:00:00.000000000,ON,DIVIDENDO,18.24,0.16,ABEV3,2017-07-17 00:00:00.000000000,,ABEV
2018-05-15,2018-06-15,2018-06-15 00:00:00.000000000,ON,DIVIDENDO,18.72,0.16,ABEV3,2018-07-30 00:00:00.000000000,,ABEV
2014-10-15,2014-10-27,2014-10-27 00:00:00.000000000,ON,DIVIDENDO,15.65,0.22,ABEV3,2014-11-13 00:00:00.000000000,,ABEV
2015-02-23,2015-02-27,2015-02-27 00:00:00.000000000,ON,JRS CAP PROPRIO,18.34,0.03,ABEV3,,,ABEV
2015-02-23,2015-02-27,2015-02-27 00:00:00.000000000,ON,JRS CAP PROPRIO,18.34,0.06,ABEV3,,,ABEV
2014-12-31,2015-01-07,2015-01-07 00:00:00.000000000,ON,JRS CAP PROPRIO,16.51,0.096,ABEV3,2015-01-30 00:00:00.000000000,,ABEV
2014-07-14,2014-07-28,2014-07-28 00:00:00.000000000,ON,JRS CAP PROPRIO,16.46,0.1,ABEV3,2014-08-28 00:00:00.000000000,,ABEV
2015-05-13,2015-06-01,2015-06-01 00:00:00.000000000,ON,JRS CAP PROPRIO,18.53,0.1,ABEV3,2015-06-29 00:00:00.000000000,,ABEV
2014-12-22,2014-12-30,2014-12-30 00:00:00.000000000,ON,JRS CAP PROPRIO,16.35,0.13,ABEV3,2015-01-14 00:00:00.000000000,,ABEV
2016-01-15,2016-01-29,2016-01-29 00:00:00.000000000,ON,JRS CAP PROPRIO,18.66,0.13,ABEV3,2016-02-29 00:00:00.000000000,,ABEV
2015-12-01,2015-12-21,2015-12-21 00:00:00.000000000,ON,JRS CAP PROPRIO,18.0,0.15,ABEV3,2015-12-30 00:00:00.000000000,,ABEV
2014-01-06,2014-01-14,2014-01-14 00:00:00.000000000,ON,JRS CAP PROPRIO,17.25,0.154,ABEV3,2014-01-14 00:00:00.000000000,,ABEV
2016-12-01,2016-12-21,2016-12-21 00:00:00.000000000,ON,JRS CAP PROPRIO,16.34,0.22,ABEV3,2016-12-29 00:00:00.000000000,,ABEV
2017-12-01,2017-12-18,2017-12-18 00:00:00.000000000,ON,JRS CAP PROPRIO,20.91,0.31,ABEV3,2017-12-28 00:00:00.000000000,,ABEV
2018-12-03,2018-12-18,2018-12-18 00:00:00.000000000,ON,JRS CAP PROPRIO,15.88,0.32,ABEV3,2018-12-28 00:00:00.000000000,,ABEV
2020-12-09,2020-12-17,2020-12-17 00:00:00.000000000,ON,JRS CAP PROPRIO,16.06,0.4137,ABEV3,2020-12-30 00:00:00.000000000,,ABEV
2021-12-09,2021-12-17,2021-12-17 00:00:00.000000000,ON,JRS CAP PROPRIO,16.07,0.4702,ABEV3,2021-12-30 00:00:00.000000000,,ABEV
2019-12-02,2019-12-19,2019-12-19 00:00:00.000000000,ON,JRS CAP PROPRIO,19.17,0.4906,ABEV3,2019-12-30 00:00:00.000000000,,ABEV
2022-12-06,2022-12-19,2022-12-19 00:00:00.000000000,ON,JRS CAP PROPRIO,15.23,0.7623,ABEV3,2022-12-29 00:00:00.000000000,,ABEV
2010-04-30,2010-04-30,2010-04-30 00:00:00.000000000,UNT,DIVIDENDO,27.2,0.003744,AEDU11,,,AEDU
2010-04-30,2010-04-30,,ON,DIVIDENDO,0.0,0.000535,AEDU3,,,AEDU
2014-04-28,2014-04-28,2014-04-28 00:00:00.000000000,ON,DIVIDENDO,12.61,0.002726,AEDU3,,,AEDU
2012-04-30,2012-04-30,2012-04-30 00:00:00.000000000,ON,DIVIDENDO,25.34,0.002828,AEDU3,,,AEDU
2011-04-29,2011-04-29,2011-04-29 00:00:00.000000000,ON,DIVIDENDO,35.0,0.008492,AEDU3,,,AEDU
2013-04-30,2013-04-30,2013-04-30 00:00:00.000000000,ON,DIVIDENDO,36.0,0.010295,AEDU3,,,AEDU
2014-06-06,2014-06-09,2014-06-09 00:00:00.000000000,ON,DIVIDENDO,17.69,0.119446,AEDU3,2014-07-15 00:00:00.000000000,BRAEDUACNOR9,AEDU
2014-04-25,2014-04-25,2014-04-24 00:00:00.000000000,ON,DIVIDENDO,7.21,0.022706,AELP3,,,AELP
2013-11-07,2013-11-08,2013-11-07 00:00:00.000000000,ON,DIVIDENDO,9.11,0.052598,AELP3,,,AELP
2014-04-25,2014-04-25,2014-04-24 00:00:00.000000000,ON,DIVIDENDO,7.21,0.08249,AELP3,,,AELP
2014-11-05,2014-11-06,2014-11-06 00:00:00.000000000,ON,DIVIDENDO,6.69,0.126235,AELP3,,,AELP
2016-04-28,2016-04-28,2016-04-28 00:00:00.000000000,ON,DIVIDENDO,9.99,0.127287,AELP3,,,AELP
2010-08-05,2010-08-05,2010-08-05 00:00:00.000000000,ON,DIVIDENDO,44.02,0.142014,AELP3,,,AELP
2010-08-05,2010-08-05,2010-08-05 00:00:00.000000000,ON,DIVIDENDO,44.02,0.652212,AELP3,,,AELP
2010-04-30,2010-04-30,2010-04-30 00:00:00.000000000,ON,DIVIDENDO,48.3,0.93624,AELP3,,,AELP
2010-04-30,2010-04-30,2010-04-30 00:00:00.000000000,ON,DIVIDENDO,48.3,0.94676,AELP3,,,AELP
2010-04-30,2010-04-30,2010-04-30 00:00:00.000000000,ON,DIVIDENDO,48.3,1.081733,AELP3,,,AELP
2011-08-10,2011-08-10,2011-08-10 00:00:00.000000000,ON,DIVIDENDO,47.99,1.346503,AELP3,,,AELP
2012-04-16,2012-04-16,2012-04-16 00:00:00.000000000,ON,DIVIDENDO,36.0,1.655568,AELP3,,,AELP
2011-04-29,2011-04-29,2011-04-29 00:00:00.000000000,ON,DIVIDENDO,47.5,2.446938,AELP3,,,AELP
2009-04-27,2009-04-27,2009-04-27 00:00:00.000000000,ON,DIVIDENDO,33.0,3.477856,AELP3,,,AELP
2011-12-06,2011-12-06,2011-12-05 00:00:00.000000000,ON,JRS CAP PROPRIO,46.5,0.220783,AELP3,,,AELP
2009-12-16,2009-12-16,2009-12-16 00:00:00.000000000,ON,JRS CAP PROPRIO,43.0,0.23418,AELP3,,,AELP
2010-12-02,2010-12-02,2010-12-02 00:00:00.000000000,ON,JRS CAP PROPRIO,44.5,0.271807,AELP3,,,AELP
2022-03-25,2022-03-25,2022-03-25 00:00:00.000000000,ON,DIVIDENDO,5.97,0.020702,AERI3,2022-04-13 00:00:00.000000000,BRAERIACNOR4,AERI
2021-08-04,2021-08-09,2021-08-09 00:00:00.000000000,ON,DIVIDENDO,13.67,0.060521,AESB3,,,AESB
2024-04-22,2024-04-22,2024-04-22 00:00:00.000000000,ON,DIVIDENDO,9.3,0.074612,AESB3,2024-05-02 00:00:00.000000000,BRAESBACNOR7,AESB
2022-08-04,2022-08-09,2022-08-09 00:00:00.000000000,ON,DIVIDENDO,10.27,0.107451,AESB3,,,AESB
2021-05-05,2021-05-10,2021-05-10 00:00:00.000000000,ON,DIVIDENDO,14.4,0.170363,AESB3,,,AESB
2018-03-27,2018-03-27,2018-03-19 00:00:00.000000000,ON,DIVIDENDO,6.7,0.076133,AFLT3,2018-12-31 00:00:00.000000000,,AFLT
2017-04-12,2017-04-12,2017-04-12 00:00:00.000000000,ON,DIVIDENDO,4.5,0.096276,AFLT3,2017-04-26 00:00:00.000000000,,AFLT
2014-09-18,2014-09-18,2014-09-18 00:00:00.000000000,ON,DIVIDENDO,2.75,0.100941,AFLT3,2014-10-01 00:00:00.000000000,,AFLT
2018-10-18,2018-10-23,2018-10-22 00:00:00.000000000,ON,DIVIDENDO,5.4,0.104383,AFLT3,2018-11-12 00:00:00.000000000,,AFLT
2019-12-09,2019-12-12,2019-12-12 00:00:00.000000000,ON,DIVIDENDO,12.63,0.105652,AFLT3,,,AFLT
2024-04-10,2024-04-10,2024-04-10 00:00:00.000000000,ON,DIVIDENDO,7.94,0.113785,AFLT3,1816-03-29 05:56:08.066277376,BRAFLTACNOR1,AFLT
2023-04-20,2023-04-20,2023-04-11 00:00:00.000000000,ON,DIVIDENDO,9.0,0.114065,AFLT3,2023-05-04 00:00:00.000000000,,AFLT
2016-09-01,2016-09-06,,ON,DIVIDENDO,2.05,0.118886,AFLT3,2016-09-15 00:00:00.000000000,,AFLT
2017-09-15,2017-09-20,2017-09-20 00:00:00.000000000,ON,DIVIDENDO,5.4,0.122287,AFLT3,2017-09-28 00:00:00.000000000,,AFLT
2021-04-07,2021-04-07,2021-04-07 00:00:00.000000000,ON,DIVIDENDO,9.37,0.122616,AFLT3,,,AFLT
2015-04-28,2015-04-28,2015-04-28 00:00:00.000000000,ON,DIVIDENDO,3.0,0.124671,AFLT3,,,AFLT
2013-08-22,2013-08-23,2013-07-10 00:00:00.000000000,ON,DIVIDENDO,3.75,0.142707,AFLT3,,,AFLT
2023-04-20,2023-04-20,2023-04-11 00:00:00.000000000,ON,DIVIDENDO,9.0,0.148569,AFLT3,2023-05-04 00:00:00.000000000,,AFLT
2014-04-29,2014-04-29,2014-04-16 00:00:00.000000000,ON,DIVIDENDO,3.0,0.150062,AFLT3,,,AFLT
2020-09-18,2020-09-23,2020-09-23 00:00:00.000000000,ON,DIVIDENDO,10.25,0.173957,AFLT3,,,AFLT
2016-04-28,2016-04-28,2016-02-17 00:00:00.000000000,ON,DIVIDENDO,2.25,0.190241,AFLT3,,,AFLT
2021-11-19,2021-12-03,2021-12-03 00:00:00.000000000,ON,DIVIDENDO,9.01,0.190442,AFLT3,2021-12-21 00:00:00.000000000,,AFLT
2022-04-18,2022-04-18,2022-04-18 00:00:00.000000000,ON,DIVIDENDO,9.68,0.236234,AFLT3,2022-12-20 00:00:00.000000000,,AFLT
2011-04-29,2011-04-29,2011-04-07 00:00:00.000000000,ON,DIVIDENDO,5.78,0.249565,AFLT3,,,AFLT
2020-07-29,2020-07-29,2020-07-29 00:00:00.000000000,ON,DIVIDENDO,10.46,0.254098,AFLT3,2020-08-25 00:00:00.000000000,,AFLT
2013-04-29,2013-04-29,2013-04-17 00:00:00.000000000,ON,DIVIDENDO,3.6,0.266416,AFLT3,,,AFLT
2020-07-29,2020-07-29,2020-07-29 00:00:00.000000000,ON,DIVIDENDO,10.46,0.294711,AFLT3,,,AFLT
2021-04-07,2021-04-07,2021-04-07 00:00:00.000000000,ON,DIVIDENDO,9.37,0.317034,AFLT3,2022-04-07 00:00:00.000000000,,AFLT
2012-04-20,2012-04-20,2012-04-20 00:00:00.000000000,ON,DIVIDENDO,5.2,0.318682,AFLT3,,,AFLT
2023-04-20,2023-04-20,2023-04-11 00:00:00.000000000,ON,DIVIDENDO,9.0,0.331642,AFLT3,2023-12-27 00:00:00.000000000,,AFLT
2024-04-10,2024-04-10,2024-04-10 00:00:00.000000000,ON,DIVIDENDO,7.94,0.341354,AFLT3,1816-03-29 05:56:08.066277376,BRAFLTACNOR1,AFLT
2024-06-20,2024-06-25,2024-06-25 00:00:00.000000000,ON,JRS CAP PROPRIO,7.49,0.127242,AFLT3,1816-03-29 05:56:08.066277376,BRAFLTACNOR1,AFLT
2017-01-31,2017-04-12,2017-04-12 00:00:00.000000000,ON,REST CAP DIN,4.5,0.475551,AFLT3,2017-04-20 00:00:00.000000000,BRAFLTACNOR1,AFLT
2013-08-22,2013-08-23,,ON,DIVIDENDO,5.26,0.088433,AFLU3,,,AFLU
2016-04-28,2016-04-28,2016-04-19 00:00:00.000000000,ON,DIVIDENDO,3.1,0.154812,AFLU3,,,AFLU
2015-04-28,2015-04-28,2015-04-13 00:00:00.000000000,ON,DIVIDENDO,3.78,0.162273,AFLU3,,,AFLU
2017-04-28,2017-04-28,2017-04-25 00:00:00.000000000,ON,DIVIDENDO,5.1,0.286518,AFLU3,,,AFLU
2016-10-13,2016-10-18,2016-10-18 00:00:00.000000000,ON,DIVIDENDO,3.0,0.291268,AFLU3,,,AFLU
2011-04-29,2011-04-29,2011-04-29 00:00:00.000000000,ON,DIVIDENDO,5.36,0.306226,AFLU3,,,AFLU
2014-04-29,2014-04-29,2014-04-22 00:00:00.000000000,ON,DIVIDENDO,5.5,0.342736,AFLU3,,,AFLU
2012-04-20,2012-04-20,2012-03-14 00:00:00.000000000,ON,DIVIDENDO,5.2,0.36877,AFLU3,,,AFLU
2009-09-30,2009-09-30,,ON,DIVIDENDO,15.34,0.494465,AFLU3,,,AFLU
2013-04-29,2013-04-29,2013-04-11 00:00:00.000000000,ON,DIVIDENDO,5.82,0.554034,AFLU3,,,AFLU
2010-04-30,2010-04-30,2010-04-23 00:00:00.000000000,ON,DIVIDENDO,15.0,0.576874,AFLU3,,,AFLU
2009-03-31,2009-03-31,2009-03-18 00:00:00.000000000,ON,DIVIDENDO,13.06,0.755134,AFLU3,,,AFLU
2010-12-30,2010-12-30,2010-11-29 00:00:00.000000000,ON,JRS CAP PROPRIO,6.3,0.027974,AFLU3,,,AFLU
2010-09-30,2010-09-30,2010-09-22 00:00:00.000000000,ON,JRS CAP PROPRIO,13.6,0.028026,AFLU3,,,AFLU
2009-09-30,2009-09-30,,ON,JRS CAP PROPRIO,15.34,0.076503,AFLU3,,,AFLU
2009-12-18,2009-12-18,2009-12-02 00:00:00.000000000,ON,JRS CAP PROPRIO,14.7,0.076503,AFLU3,,,AFLU
2009-06-29,2009-06-29,2009-05-20 00:00:00.000000000,ON,JRS CAP PROPRIO,15.5,0.159292,AFLU3,,,AFLU
2013-08-22,2013-08-23,,PNA,DIVIDENDO,0.0,0.088433,AFLU5,,,AFLU
2016-04-28,2016-04-28,,PNA,DIVIDENDO,0.0,0.154812,AFLU5,,,AFLU
2015-04-28,2015-04-28,,PNA,DIVIDENDO,0.0,0.162273,AFLU5,,,AFLU
2017-04-28,2017-04-28,,PNA,DIVIDENDO,0.0,0.286518,AFLU5,,,AFLU
2016-10-13,2016-10-18,,PNA,DIVIDENDO,0.0,0.291268,AFLU5,,,AFLU
2011-04-29,2011-04-29,,PNA,DIVIDENDO,0.0,0.306226,AFLU5,,,AFLU
2014-04-29,2014-04-29,,PNA,DIVIDENDO,0.0,0.342736,AFLU5,,,AFLU
2012-04-20,2012-04-20,,PNA,DIVIDENDO,0.0,0.36877,AFLU5,,,AFLU
2009-09-30,2009-09-30,,PNA,DIVIDENDO,8.7,0.494465,AFLU5,,,AFLU
2013-04-29,2013-04-29,,PNA,DIVIDENDO,0.0,0.554034,AFLU5,,,AFLU
2010-04-30,2010-04-30,,PNA,DIVIDENDO,8.05,0.576874,AFLU5,,,AFLU
2009-03-31,2009-03-31,,PNA,DIVIDENDO,9.61,0.755134,AFLU5,,,AFLU
2010-12-30,2010-12-30,,PNA,JRS CAP PROPRIO,0.0,0.027974,AFLU5,,,AFLU
2010-09-30,2010-09-30,,PNA,JRS CAP PROPRIO,7.47,0.028026,AFLU5,,,AFLU
2009-09-30,2009-09-30,,PNA,JRS CAP PROPRIO,8.7,0.076503,AFLU5,,,AFLU
2009-12-18,2009-12-18,,PNA,JRS CAP PROPRIO,8.12,0.076503,AFLU5,,,AFLU
2009-06-29,2009-06-29,,PNA,JRS CAP PROPRIO,8.86,0.159292,AFLU5,,,AFLU
2010-04-30,2010-04-30,2010-04-30 00:00:00.000000000,ON,DIVIDENDO,7.93,0.021151,AGEI3,,,AGEI
2009-05-08,2009-05-08,2009-05-08 00:00:00.000000000,ON,DIVIDENDO,2.24,0.011326,AGIN3,,,AGIN
2013-10-29,2013-12-18,2013-12-18 00:00:00.000000000,ON,DIVIDENDO,9.39,0.100704,AGRO3,,,AGRO
2016-10-21,2016-10-21,2016-10-21 00:00:00.000000000,ON,DIVIDENDO,11.46,0.182998,AGRO3,,,AGRO
2017-10-02,2017-10-02,2017-10-02 00:00:00.000000000,ON,DIVIDENDO,13.45,0.241108,AGRO3,,,AGRO
2016-11-07,2016-11-07,2016-11-07 00:00:00.000000000,ON,DIVIDENDO,10.5,0.401082,AGRO3,,,AGRO
2020-10-16,2020-10-16,2020-10-16 00:00:00.000000000,ON,DIVIDENDO,22.3,0.709664,AGRO3,2020-11-12 00:00:00.000000000,,AGRO
2018-10-16,2018-10-16,2018-10-16 00:00:00.000000000,ON,DIVIDENDO,14.3,0.762051,AGRO3,2018-11-06 00:00:00.000000000,,AGRO
2019-10-16,2019-10-16,2019-10-16 00:00:00.000000000,ON,DIVIDENDO,18.0,0.929331,AGRO3,,,AGRO
2015-10-28,2015-10-28,2015-10-28 00:00:00.000000000,ON,DIVIDENDO,13.24,1.3977,AGRO3,,,AGRO
2022-04-04,2022-04-07,2022-04-07 00:00:00.000000000,ON,DIVIDENDO,34.4,2.016293,AGRO3,2022-04-29 00:00:00.000000000,,AGRO
2021-10-27,2021-10-27,2021-10-27 00:00:00.000000000,ON,DIVIDENDO,28.88,2.621181,AGRO3,2021-11-10 00:00:00.000000000,,AGRO
2023-10-24,2023-10-24,2023-10-24 00:00:00.000000000,ON,DIVIDENDO,30.18,3.212353,AGRO3,2023-11-24 00:00:00.000000000,BRAGROACNOR7,AGRO
2022-10-27,2022-10-27,2022-10-27 00:00:00.000000000,ON,DIVIDENDO,32.39,3.238673,AGRO3,,,AGRO
2023-04-28,2023-04-28,2023-04-28 00:00:00.000000000,ON,DIVIDENDO,6.95,0.039657,AGXY3,2023-12-28 00:00:00.000000000,BRAGXYACNOR4,AGXY
2022-04-29,2022-04-29,2022-04-29 00:00:00.000000000,ON,DIVIDENDO,9.8,0.167864,AGXY3,,,AGXY
2021-09-10,2021-09-15,2021-09-15 00:00:00.000000000,ON,DIVIDENDO,29.3,0.028555,ALLD3,2021-09-30 00:00:00.000000000,,ALLD
2021-09-10,2021-09-15,2021-09-15 00:00:00.000000000,ON,DIVIDENDO,29.3,0.097948,ALLD3,2021-09-30 00:00:00.000000000,,ALLD
2022-04-29,2022-04-29,2022-04-29 00:00:00.000000000,ON,DIVIDENDO,14.02,0.570983,ALLD3,2022-07-05 00:00:00.000000000,BRALLDACNOR3,ALLD
2021-12-13,2021-12-16,2021-12-16 00:00:00.000000000,ON,JRS CAP PROPRIO,16.26,0.29731,ALLD3,2021-12-30 00:00:00.000000000,,ALLD
2021-09-10,2021-09-15,2021-09-15 00:00:00.000000000,ON,JRS CAP PROPRIO,29.3,0.337139,ALLD3,2021-09-30 00:00:00.000000000,,ALLD
2022-12-21,2022-12-27,2022-12-27 00:00:00.000000000,ON,JRS CAP PROPRIO,6.29,0.353999,ALLD3,2023-06-16 00:00:00.000000000,,ALLD
2023-12-14,2023-12-19,2023-12-19 00:00:00.000000000,ON,JRS CAP PROPRIO,8.05,0.482726,ALLD3,2024-03-25 00:00:00.000000000,BRALLDACNOR3,ALLD
2023-12-14,2023-12-19,2023-12-19 00:00:00.000000000,ON,JRS CAP PROPRIO,8.05,0.482726,ALLD3,2024-03-25 00:00:00.000000000,BRALLDACNOR3,ALLD
2024-03-21,2024-04-15,2024-04-15 00:00:00.000000000,ON,JRS CAP PROPRIO,9.44,1.069763,ALLD3,2024-07-31 00:00:00.000000000,BRALLDACNOR3,ALLD
2011-04-28,2011-04-28,2011-04-28 00:00:00.000000000,ON,DIVIDENDO,23.7,0.038457,ALOS3,,,ALOS
2021-04-28,2021-04-28,2021-04-28 00:00:00.000000000,ON,DIVIDENDO,26.95,0.226403,ALOS3,,,ALOS
